cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9439130871486369,0.1033182389044894,0.12707088023754662,0.30561718796040593,0.5401120041363342,80.86802944723004,0.21966968108323642,2.11825,8473.0,0.1033182389044894,0.30561718796040593,0.109,2071,2780.401553729401,2780.401553729401,2071,2780.401553729401,2780.401553729401,0,0.0,0.0,1700,254,0.0635,5,1960,3771,0.5197560328825245,4000,0.0,0.0,0.23170012947743074,0.425,0.30902007768645845,0.09536469883470312,0.013793553338449782,0.0
2,0.9877386869797655,0.10540791753768924,0.12707088023754662,0.3179016530006705,0.5425418556802545,77.91381446427762,0.0506424840167825,2.118,8472.0,0.10540791753768924,0.3179016530006705,0.10075,2117,3787.5711990348505,3787.5711990348505,2117,3787.5711990348505,3787.5711990348505,0,0.0,0.0,1825,208,0.052,5,1991,3942,0.5050735667174023,4000,0.002384962524407172,0.002384962524407172,0.3156309332528779,0.45625,0.3718785599517267,0.0944218216007241,0.005926899462778246,0.0
3,0.9875866310979812,0.10662138200947174,0.12707088023754662,0.331150303814693,0.5438675465538002,74.98501441115731,0.04987692134795159,2.11875,8475.0,0.10662138200947174,0.331150303814693,0.1015,2231,4669.24095369362,4669.24095369362,2231,4669.24095369362,4669.24095369362,0,0.0,0.0,1804,189,0.04725,11,2023,4035,0.501363073110285,4000,0.004762626632544328,0.004762626632544328,0.3891034128077692,0.451,0.4138620476846615,0.09379206928473008,0.020526093630084397,0.0
4,0.988737265410595,0.10798631288295862,0.12707088023754662,0.34540663394287974,0.5455198809323402,72.09068051013904,0.04282220500632497,2.1185,8474.0,0.10798631288295862,0.34540663394287974,0.09625,2270,5006.030937607161,5006.030937607161,2225,4808.918204565743,4808.918204565743,45,197.11273304142233,197.11273304142233,1936,186,0.0465,13,2092,4206,0.4973846885401807,4000,0.006854810329773245,0.006854810329773245,0.41716924480056194,0.484,0.44390154688033717,0.09334147679679494,0.01119435917114353,0.0
5,0.9906309925900026,0.10881145406847897,0.12707088023754662,0.36059339103944205,0.5465694668157774,69.23852972512834,0.03624536019011107,2.1185,8474.0,0.10881145406847897,0.36059339103944205,0.0985,2533,6040.560871833572,6040.560871833572,2291,4960.959701017193,4960.959701017193,242,1079.6011708163721,1079.6011708163721,1950,134,0.0335,4,2253,4483,0.5025652464867276,4000,0.008354623808107144,0.008354623808107144,0.5033800726527556,0.4875,0.49702804359165337,0.0925445793461252,0.0235260936300844,0.0
6,0.992034962177808,0.10941505830057953,0.12707088023754662,0.37635374923415654,0.5476004782387056,66.44674376917916,0.028470556076034874,2.1215,8486.0,0.10941505830057953,0.37635374923415654,0.1055,2697,6785.834095729715,6785.834095729715,2357,5216.105350871862,5216.105350871862,340,1569.7287448578468,1569.7287448578468,2004,136,0.034,12,2280,4701,0.48500319081046583,4000,0.009390002039263774,0.009390002039263774,0.5654861746440958,0.501,0.5396917047864576,0.09190462442820314,0.015758633921719056,0.0
7,0.9919167857425449,0.10982254543900648,0.12707088023754662,0.39263457350617126,0.54825643629937,63.72561857923666,0.02878932889899226,2.12275,8491.0,0.10982254543900648,0.39263457350617126,0.09775,2586,6267.121541508393,6267.121541508393,2359,5077.38424746629,5077.38424746629,227,1189.7372940420935,1189.7372940420935,2077,135,0.03375,7,2338,4663,0.5013939523911645,4000,0.010031508523278979,0.010031508523278979,0.5222601284589893,0.51925,0.5210560770753936,0.0921841588438691,0.028880851880276337,0.0
8,0.9933196642574205,0.11056415759712766,0.12707088023754662,0.4094805154081145,0.5493311371560106,61.07536110297896,0.025532850798145545,2.123,8492.0,0.11056415759712766,0.4094805154081145,0.105,3127,8578.753072590618,8578.753072590618,2393,5211.003624406983,5211.003624406983,734,3367.749448183648,3367.749448183648,2120,145,0.03625,3,2668,5247,0.5084810367829236,4000,0.011073279068496627,0.011073279068496627,0.7148960893824919,0.53,0.6409376536294952,0.09038593519555757,0.027003069838833493,0.0
9,0.9932729863549188,0.11137539941354332,0.12707088023754662,0.42672502203970314,0.5503954930975623,58.50311260924278,0.0216324856751076,2.12375,8495.0,0.11137539941354332,0.42672502203970314,0.10075,2875,7694.1060464552575,7694.1060464552575,2423,5375.9642095874415,5375.9642095874415,452,2318.1418368678073,2318.1418368678073,2090,138,0.0345,7,2471,4965,0.4976837865055388,4000,0.011792042971609754,0.011792042971609754,0.641175503871218,0.5225,0.5937053023227308,0.09109442046515905,0.02050863392171909,0.0
10,0.9930744202266913,0.11199816705993294,0.12707088023754662,0.44415601981511965,0.5511985041301647,56.02189504441008,0.02357979333125505,2.124,8496.0,0.11199816705993294,0.44415601981511965,0.101,2815,6991.551867738156,6991.551867738156,2494,5315.892634012291,5315.892634012291,321,1675.6592337258796,1675.6592337258796,2187,147,0.03675,7,2520,5002,0.5037984806077569,4000,0.012367950468533692,0.012367950468533692,0.5826293223114645,0.54675,0.5682775933868787,0.09147583609919682,0.026398311588641588,0.0
