cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9439130871486369,0.13789399026950014,0.17154415530141728,0.30565859950036306,0.4661187164915793,80.85733596247108,0.21966968108323642,2.11825,8473.0,0.13789399026950014,0.30565859950036306,0.109,2071,2780.401553729401,2780.401553729401,2071,2780.401553729401,2780.401553729401,0,0.0,0.0,1700,254,0.0635,5,1960,3771,0.5197560328825245,4000,0.0,0.0,0.23170012947743074,0.425,0.30902007768645845,0.09536469883470312,0.013793553338449782,0.0
2,0.9877386869797655,0.1407805973377383,0.17154415530141728,0.31803983241595046,0.46910069949646993,77.88136708189087,0.0506424840167825,2.118,8472.0,0.1407805973377383,0.31803983241595046,0.10075,2117,3787.54790107615,3787.54790107615,2117,3787.54790107615,3787.54790107615,0,0.0,0.0,1825,208,0.052,5,1991,3942,0.5050735667174023,4000,0.002384962524407172,0.002384962524407172,0.31562899175631953,0.45625,0.3718773950537917,0.09442183907419313,0.005926899462778246,0.0
3,0.9875866311118826,0.1422584510040939,0.17154415530141728,0.33145392932251994,0.47071421646615247,74.91988166815484,0.04987692131489124,2.11875,8475.0,0.1422584510040939,0.33145392932251994,0.1015,2231,4669.141815763336,4669.141815763336,2231,4669.141815763336,4669.141815763336,0,0.0,0.0,1804,189,0.04725,11,2023,4035,0.501363073110285,4000,0.004762628534339346,0.004762628534339346,0.3890951513135789,0.451,0.41385709078814736,0.0937921436381778,0.020526093630084397,0.0
4,0.9887372654613814,0.1441868421482451,0.17154415530141728,0.3459623651403109,0.47267958629775864,71.98108726823422,0.042822204882448686,2.1185,8474.0,0.1441868421482451,0.3459623651403109,0.09625,2270,5005.803820940803,5005.803820940803,2225,4808.69737880554,4808.69737880554,45,197.10644213526157,197.10644213526157,1936,186,0.0465,13,2092,4206,0.4973846885401807,4000,0.006854812891551651,0.006854812891551651,0.4171503184116988,0.484,0.44389019104701927,0.09334164713429471,0.01119435917114353,0.0
5,0.9906309926375725,0.14535687492007007,0.17154415530141728,0.3615087720887734,0.4739287468209337,69.07141994302583,0.03624536007542473,2.1185,8474.0,0.14535687492007007,0.3615087720887734,0.0985,2533,6040.051868957114,6040.051868957114,2291,4960.503469044336,4960.503469044336,242,1079.548399912778,1079.548399912778,1950,134,0.0335,4,2253,4483,0.5025652464867276,4000,0.008354589124211671,0.008354589124211671,0.5033376557463841,0.4875,0.4970025934478305,0.09254496109828254,0.0235260936300844,0.0
6,0.9920349622103621,0.14632602019711036,0.17154415530141728,0.37773324626895305,0.4751631492842232,66.21000050889371,0.028470555996899415,2.1215,8486.0,0.14632602019711036,0.37773324626895305,0.1055,2698,6785.880523137054,6785.880523137054,2357,5212.108926056323,5212.108926056323,341,1573.7715970807433,1573.7715970807433,2003,136,0.034,12,2281,4701,0.48521591150818977,4000,0.009389817129512415,0.009389817129512415,0.5654900435947073,0.50075,0.5395940261568244,0.09190608960764764,0.015758633921719056,0.0
7,0.9915619113699806,0.14699405954036002,0.17154415530141728,0.394592450083234,0.4760522039591784,63.410599334890456,0.030800673067024244,2.12275,8491.0,0.14699405954036002,0.394592450083234,0.09775,2584,6274.708895431264,6274.708895431264,2355,5073.213122550516,5073.213122550516,229,1201.4957728807497,1201.4957728807497,2080,129,0.03225,7,2341,4664,0.5019296740994854,4000,0.010031584537823776,0.010031584537823776,0.5228924079525618,0.52,0.521735444771537,0.09217396832842695,0.028880851880276337,0.0
8,0.9931869885370816,0.14801441670607568,0.17154415530141728,0.4121717665862763,0.47717394104008765,60.66833199759877,0.027038556173601094,2.123,8492.0,0.14801441670607568,0.4121717665862763,0.105,3147,8743.723061285506,8743.723061285506,2394,5283.9372702713845,5283.9372702713845,753,3459.785791014109,3459.785791014109,2093,116,0.029,3,2623,5240,0.5005725190839695,4000,0.011106552149117578,0.011106552149117578,0.728643588440398,0.52325,0.6464861530642388,0.09030270770403642,0.027003069838833493,0.0
9,0.9941230049109928,0.1488930813203667,0.17154415530141728,0.43016948910205427,0.47821756821959616,57.99625189542326,0.02300678071984151,2.12425,8497.0,0.1488930813203667,0.43016948910205427,0.1005,2864,7497.751463511563,7497.751463511563,2445,5336.175263495005,5336.175263495005,419,2161.5762000165455,2161.5762000165455,2133,128,0.032,7,2480,4997,0.4962977786672003,4000,0.011634537920095138,0.011634537920095138,0.6248126219592448,0.53325,0.5881875731755469,0.0911771864023668,0.02996815042210277,0.0
10,0.993652581331,0.14946491227974207,0.17154415530141728,0.4485459178810784,0.4790403933053235,55.40350814585263,0.024100560546850135,2.125,8500.0,0.14946491227974207,0.4485459178810784,0.09875,2804,7042.370066440023,7042.370066440023,2472,5291.39851607148,5291.39851607148,332,1750.9715503685343,1750.9715503685343,2174,135,0.03375,7,2484,4978,0.49899558055443954,4000,0.012269376060891428,0.012269376060891428,0.5868641722032863,0.5435,0.5695185033219718,0.09145722245017043,0.017136415963161955,0.0
